hotel_name,star_rating,rating_score,location_score,review_amount,bed_info,price,breakfast_included,free_cancellation,no_prepayment_needed,centrally_located,sustainability_certification,distance_from_downtown,checkin,checkout
INNSiDE by Meliá New York Nomad,4.0,8.4,,1037,1 queen bed,"₪ 2,653",False,True,True,True,True,2.6 km from downtown,24 March 2025,26 March 2025
Roxy Hotel New York,4.0,8.6,9.3,1137,2 full beds,"₪ 3,629",False,True,True,True,False,5.8 km from downtown,24 March 2025,26 March 2025
Royalton New York,4.0,7.5,9.4,3117,1 queen bed,"₪ 2,934",False,True,False,True,False,1.4 km from downtown,24 March 2025,26 March 2025
Riu Plaza Manhattan Times Square,4.0,8.7,9.6,13190,1 king bed,"₪ 2,820",False,False,False,True,True,1 km from downtown,24 March 2025,26 March 2025
UNTITLED at 3 Freeman Alley,4.0,8.5,,605,1 full bed,"₪ 2,125",False,True,False,True,False,5.2 km from downtown,24 March 2025,26 March 2025
Sonder at One Platt,4.0,8.2,,1922,N/A,"₪ 1,977",False,True,False,True,False,7 km from downtown,24 March 2025,26 March 2025
"33 Hotel, New York City, Seaport",5.0,8.8,9.3,681,1 king bed,"₪ 3,599",False,True,False,False,False,6.9 km from downtown,24 March 2025,26 March 2025
Tempo By Hilton New York Times Square,4.0,8.6,9.4,891,1 king bed,"₪ 3,590",False,False,True,True,False,1 km from downtown,24 March 2025,26 March 2025
NH Collection New York Madison Avenue,4.0,8.5,9.5,1940,1 queen bed,"₪ 3,168",False,False,False,True,True,2 km from downtown,24 March 2025,26 March 2025
Hotel 57 by LuxUrban,4.0,7.0,,5160,1 queen bed,"₪ 1,413",False,False,False,True,False,1.3 km from downtown,24 March 2025,26 March 2025
"The New Yorker, A Wyndham Hotel",4.0,7.7,9.4,15553,1 queen bed,"₪ 2,068",False,True,False,True,False,2 km from downtown,24 March 2025,26 March 2025
Residence Inn by Marriott New York Manhattan/Times Square,4.0,8.1,9.7,7034,"2 beds (1 king, 1 sofa bed)","₪ 3,965",False,True,True,True,False,1.7 km from downtown,24 March 2025,26 March 2025
Pod Times Square,3.0,8.3,9.4,23078,2 twin beds,"₪ 1,609",False,False,False,True,False,1.4 km from downtown,24 March 2025,26 March 2025
SpringHill Suites by Marriott New York Manhattan Chelsea,4.0,8.4,9.5,11131,N/A,"₪ 3,047",False,False,False,True,False,2.5 km from downtown,24 March 2025,26 March 2025
Holiday Inn Express - Times Square South by IHG,3.0,8.2,9.5,2886,1 king bed,"₪ 2,135",False,False,False,True,False,2 km from downtown,24 March 2025,26 March 2025
Hyatt House New York/Chelsea,3.0,8.5,9.5,1805,1 king bed,"₪ 1,869",False,False,False,True,False,2.5 km from downtown,24 March 2025,26 March 2025
Fairfield Inn by Marriott New York Manhattan/Financial District,3.0,7.8,,3657,1 queen bed,"₪ 1,942",False,True,True,True,False,7.2 km from downtown,24 March 2025,26 March 2025
citizenM New York Times Square,4.0,8.7,9.6,3979,1 king bed,"₪ 3,114",False,True,True,True,True,0.8 km from downtown,24 March 2025,26 March 2025
Element Times Square West,4.0,8.1,,7689,1 king bed,"₪ 1,850",False,False,False,True,False,1.6 km from downtown,24 March 2025,26 March 2025
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,4.0,8.4,,7004,2 queen beds,"₪ 3,311",False,False,False,True,False,1.9 km from downtown,24 March 2025,26 March 2025
Hyatt Centric Times Square New York,4.0,8.4,9.5,1406,1 king bed,"₪ 3,465",False,False,False,True,True,1.2 km from downtown,24 March 2025,26 March 2025
