Hotel Name,Snapshot Date,Discount Code,Count
Wyndham Garden Brooklyn Sunset Park,2015-11-01,2,20
Park Hyatt New York,2015-07-24,1,20
Wyndham Garden Brooklyn Sunset Park,2015-10-27,3,20
Westin New York at Times Square,2015-10-21,3,19
Magnuson Convention Center Hotel,2015-07-26,3,19
Magnuson Convention Center Hotel,2015-07-26,2,19
Park Hyatt New York,2015-07-24,2,19
Westin New York at Times Square,2015-10-17,3,19
Westin New York at Times Square,2015-10-19,3,19
The Carlyle A Rosewood Hotel,2015-12-14,2,19
Westin New York at Times Square,2015-10-20,2,19
The Carlyle A Rosewood Hotel,2015-12-13,3,19
Wyndham Garden Brooklyn Sunset Park,2015-10-27,2,19
The Carlyle A Rosewood Hotel,2015-12-11,3,19
Westin New York at Times Square,2015-10-23,2,19
Westin New York at Times Square,2015-10-25,2,19
Westin New York at Times Square,2015-10-26,2,19
Newark Liberty International Airport Marriott,2015-12-27,2,19
Westin New York at Times Square,2015-10-27,2,19
Wyndham Garden Brooklyn Sunset Park,2015-11-04,2,19
The Carlyle A Rosewood Hotel,2015-12-11,4,19
Magnuson Convention Center Hotel,2015-07-27,1,19
Wyndham Garden Brooklyn Sunset Park,2015-10-18,3,19
Newark Liberty International Airport Marriott,2015-12-27,3,19
Park Hyatt New York,2015-07-24,4,19
Westin New York at Times Square,2015-08-03,3,19
Westin New York at Times Square,2015-08-04,3,19
The Carlyle A Rosewood Hotel,2015-12-24,4,19
The Carlyle A Rosewood Hotel,2015-12-24,3,19
Magnuson Convention Center Hotel,2015-08-24,3,19
The Carlyle A Rosewood Hotel,2015-12-24,2,19
The Carlyle A Rosewood Hotel,2015-12-23,2,19
The Carlyle A Rosewood Hotel,2015-12-22,3,19
The Carlyle A Rosewood Hotel,2015-12-22,2,19
Park Hyatt New York,2015-07-17,3,19
The Carlyle A Rosewood Hotel,2015-12-28,2,19
Magnuson Convention Center Hotel,2015-08-10,2,19
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-08,3,19
The Carlyle A Rosewood Hotel,2015-12-29,2,19
Newark Liberty International Airport Marriott,2015-12-30,3,19
Newark Liberty International Airport Marriott,2015-12-29,3,19
Newark Liberty International Airport Marriott,2015-12-29,2,19
The Carlyle A Rosewood Hotel,2015-12-15,1,19
Quality Inn Woodside,2015-10-27,3,19
Quality Inn Woodside,2015-10-26,3,19
Westin New York at Times Square,2015-10-07,3,19
Magnuson Convention Center Hotel,2015-07-28,4,19
Magnuson Convention Center Hotel,2015-07-28,1,19
Magnuson Convention Center Hotel,2015-07-27,4,19
The Carlyle A Rosewood Hotel,2015-12-14,1,19
Magnuson Convention Center Hotel,2015-08-24,2,19
Viceroy New York,2015-12-27,4,19
Wyndham Garden Brooklyn Sunset Park,2015-10-19,2,19
Wyndham Garden Brooklyn Sunset Park,2015-10-16,2,19
Quality Inn Woodside,2015-11-02,2,18
The Carlyle A Rosewood Hotel,2015-12-28,4,18
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-09,3,18
Park Hyatt New York,2015-07-23,1,18
Westin New York at Times Square,2015-10-22,3,18
Park Hyatt New York,2015-07-19,1,18
Westin New York at Times Square,2015-10-23,3,18
Westin New York at Times Square,2015-10-25,3,18
The Carlyle A Rosewood Hotel,2015-12-29,1,18
Viceroy New York,2015-12-26,3,18
Hilton Newark Airport,2015-07-23,3,18
The Carlyle A Rosewood Hotel,2015-12-28,3,18
Quality Inn Woodside,2015-10-27,2,18
The Carlyle A Rosewood Hotel,2015-12-29,4,18
Westin New York at Times Square,2015-10-30,2,18
Westin New York at Times Square,2015-10-31,2,18
Wyndham Garden Brooklyn Sunset Park,2015-11-05,3,18
Westin New York at Times Square,2015-10-31,3,18
Viceroy New York,2015-12-26,4,18
Westin New York at Times Square,2015-11-01,3,18
Park Hyatt New York,2015-07-18,1,18
Magnuson Convention Center Hotel,2015-07-25,2,18
Viceroy New York,2015-12-27,3,18
Westin New York at Times Square,2015-10-18,3,18
Newark Liberty International Airport Marriott,2015-12-28,2,18
Magnuson Convention Center Hotel,2015-07-29,4,18
Newark Liberty International Airport Marriott,2015-12-28,3,18
Magnuson Convention Center Hotel,2015-07-29,1,18
Quality Inn Woodside,2015-10-26,2,18
Westin New York at Times Square,2015-10-09,3,18
Magnuson Convention Center Hotel,2015-08-02,1,18
Westin New York at Times Square,2015-10-10,3,18
Westin New York at Times Square,2015-10-11,3,18
Westin New York at Times Square,2015-10-12,3,18
