Snapshot Date,TTT,LOS,Hotel Name,Price,Rating,Reviews,Neighborhood,Breakfast,Free Cancellation,Rooms Left,Check-in,Check-out
2025-03-16,0,1,Hampton Inn Brooklyn/Downtown,174,Fully,"1,300",Downtown Brooklyn,Yes,Yes,4,2025-03-16,2025-03-17
2025-03-16,0,1,Hilton Brooklyn New York,192,Excellent,"1,009",Brooklyn,No,No,1,2025-03-16,2025-03-17
2025-03-16,0,1,"PUBLIC, an Ian Schrager hotel",348,Very,"2,815",New York,No,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Hilton Garden Inn New York Times Square South,163,Fully,"4,016",New York,No,Yes,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Hyatt Place New York / Chelsea,147,Very,"2,265",Chelsea,Yes,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Hampton Inn Manhattan/Times Square Central,140,Wonderful,"1,927",Theater District,Yes,No,5,2025-03-16,2025-03-17
2025-03-16,0,1,Hilton New York Times Square,175,Very,"1,492",Theater District,No,No,3,2025-03-16,2025-03-17
2025-03-16,0,1,Hilton New York Times Square,175,Very,"1,492",Theater District,No,No,3,2025-03-16,2025-03-17
2025-03-16,0,1,Hyatt Place New York Midtown South,165,Wonderful,"1,950",New York,Yes,No,5,2025-03-16,2025-03-17
2025-03-16,0,1,AC Hotel by Marriott New York Downtown,144,Wonderful,"1,007",New York,No,No,2,2025-03-16,2025-03-17
2025-03-16,0,1,Doubletree by Hilton New York Times Square South,174,Fully,"4,093",New York,No,Yes,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,SpringHill Suites by Marriott New York Manhattan/Times Square South,171,Excellent,"1,230",New York,Yes,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Courtyard New York Manhattan/ Midtown East,299,Excellent,"2,245",New York,No,No,5,2025-03-16,2025-03-17
2025-03-16,0,1,Broadway Plaza Hotel,173,Exceptional,"1,563",New York,No,No,1,2025-03-16,2025-03-17
2025-03-16,0,1,Courtyard by Marriott New York World Trade Center Area,133,Wonderful,817,New York,No,No,5,2025-03-16,2025-03-17
2025-03-16,0,1,The Belvedere Hotel,159,Very,"3,559",New York,No,No,15,2025-03-16,2025-03-17
2025-03-16,0,1,World Center Hotel,169,Excellent,"2,306",New York,No,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Tempo by Hilton New York Times Square,244,Exceptional,"3,863",Theater District,No,No,3,2025-03-16,2025-03-17
2025-03-16,0,1,Sheraton Tribeca New York Hotel,118,Excellent,"1,533",New York,No,No,5,2025-03-16,2025-03-17
2025-03-16,0,1,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,193,Fully,"1,097",Chelsea,Yes,Yes,5,2025-03-16,2025-03-17
2025-03-16,0,1,Fairfield Inn & Suites New York Manhattan/Times Square South,188,Wonderful,"1,318",New York,Yes,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,DoubleTree by Hilton Hotel New York City - Chelsea,152,Fully,"1,564",Chelsea,No,Yes,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Courtyard by Marriott New York City Manhattan Fifth Avenue,163,Very,"1,006",New York,No,No,5,2025-03-16,2025-03-17
2025-03-16,0,1,City Club Hotel,147,Good,"1,462",Central New York City,Yes,No,4,2025-03-16,2025-03-17
2025-03-16,0,1,DoubleTree by Hilton New York Times Square West,140,Good,"1,819",New York,No,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Hyatt Place New York City/Times Square,165,Very,"2,450",New York,Yes,No,1,2025-03-16,2025-03-17
2025-03-16,0,1,The Manhattan Club,221,Wonderful,"1,323",New York,No,No,42,2025-03-16,2025-03-17
2025-03-16,0,1,Hotel Indigo NYC Financial District by IHG,129,Wonderful,675,New York,No,No,7,2025-03-16,2025-03-17
2025-03-16,0,1,Virgin Hotels New York City,271,Excellent,"2,331",New York,No,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Courtyard by Marriott New York World Trade Center Area,133,Wonderful,817,New York,No,No,5,2025-03-16,2025-03-17
2025-03-16,0,1,Hotel 1200,113,Good,40,Brooklyn,No,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Little Charlie Hotel,143,Exceptional,923,New York,Yes,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,citizenM New York Bowery,186,Wonderful,"1,361",New York,No,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Wingate by Wyndham New York Midtown South/5th Ave,152,Excellent,"1,002",New York,Yes,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Cambria Hotel New York - Chelsea,163,Excellent,"1,003",Chelsea,No,No,6,2025-03-16,2025-03-17
2025-03-16,0,1,Courtyard New York Manhattan/Times Square West,209,Wonderful,"1,443",New York,No,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Arlo Midtown,197,Wonderful,"5,438",New York,No,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Hilton Garden Inn New York/Central Park South-Midtown West,201,Very,"1,754",Theater District,No,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Renaissance New York Midtown Hotel,223,Wonderful,"1,003",New York,No,No,5,2025-03-16,2025-03-17
2025-03-16,0,1,Motto by Hilton New York City Chelsea,176,Wonderful,"1,403",Chelsea,No,No,N/A,2025-03-16,2025-03-17
2025-03-16,0,1,Element New York Times Square West,142,Very,"2,318",New York,Yes,No,5,2025-03-16,2025-03-17
2025-03-16,0,1,AC Hotel by Marriott New York Times Square,186,Excellent,"1,002",New York,No,No,5,2025-03-16,2025-03-17
2025-03-16,0,1,"Club Quarters Hotel, World Trade Center",169,Excellent,"1,596",New York,No,No,N/A,2025-03-16,2025-03-17
