Snapshot Date,TTT,LOS,Hotel Name,Price,Rating,Reviews,Neighborhood,Breakfast,Free Cancellation,Rooms Left,Check-in,Check-out
2025-03-18,0,1,Hampton Inn NY-JFK,249,Fully,"2,658",Queens,Yes,Yes,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,DoubleTree by Hilton New York JFK Airport,243,Fully,169,Queens,No,Yes,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,"PUBLIC, an Ian Schrager hotel",818,Very,"2,817",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Hampton Inn NY-JFK,249,Fully,"2,658",Queens,Yes,Yes,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,DoubleTree by Hilton New York JFK Airport,243,Fully,169,Queens,No,Yes,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,"PUBLIC, an Ian Schrager hotel",818,Very,"2,817",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Hudson River Hotel,147,N/A,"1,005",New York,No,No,3,2025-03-18,2025-03-19
2025-03-18,0,1,The Jane Hotel,176,Good,"1,003",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Studios Midtown Manhattan,320,Excellent,42,New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Nine Orchard,611,Exceptional,97,New York,Yes,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Hampton Inn Manhattan/Times Square South,550,Fully,"1,545",New York,Yes,Yes,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Night Hotel Broadway,194,N/A,"1,931",Upper West Side,No,No,3,2025-03-18,2025-03-19
2025-03-18,0,1,Hotel Beacon,485,Wonderful,"1,241",Upper West Side,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Heritage Hotel,291,Very,"1,523",New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,YOTEL New York Times Square,388,Good,"2,115",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,LaGuardia Plaza Hotel,209,Fully,"2,334",Queens,No,Yes,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,31 Street Broadway Hotel,235,N/A,"1,013",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Sonder Battery Park,403,Excellent,459,New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Freehand New York,371,Very,"1,266",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,The Shoreham Hotel,393,Good,"1,087",Central New York City,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,TRYP by Wyndham New York City Times Square / Midtown,370,Good,"1,852",New York,No,No,2,2025-03-18,2025-03-19
2025-03-18,0,1,Redford Hotel,264,Good,256,New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Sonder The Merchant,378,N/A,N/A,New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Hotel Mulberry,370,Wonderful,"1,006",New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Hotel Belleclaire,472,Wonderful,"2,376",Upper West Side,Yes,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Sonder at The Nash,339,Good,72,New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,The Gallivant Times Square,314,N/A,"3,565",Theater District,No,No,54,2025-03-18,2025-03-19
2025-03-18,0,1,Canal Loft Hotel,222,Good,850,New York,No,No,4,2025-03-18,2025-03-19
2025-03-18,0,1,Holiday Inn NYC - Lower East Side by IHG,347,Excellent,"1,005",New York,No,No,2,2025-03-18,2025-03-19
2025-03-18,0,1,City Club Hotel,410,Good,"1,467",Central New York City,Yes,No,4,2025-03-18,2025-03-19
2025-03-18,0,1,Trump International Hotel & Tower New York,954,Fully,"1,006",New York,No,Yes,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Tru By Hilton Brooklyn,270,Excellent,462,Brooklyn,Yes,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Hampton Inn Manhattan Grand Central,588,Excellent,"1,159",New York,Yes,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,The Ludlow Hotel,633,Exceptional,"1,003",New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Untitled at 3 Freeman Alley,455,Wonderful,472,New York,Yes,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,OYO Times Square,427,Good,"1,322",Theater District,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,The Sohotel,465,Very,"1,004",New York,No,No,159,2025-03-18,2025-03-19
2025-03-18,0,1,The Pearl New York,496,Exceptional,"1,385",Theater District,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Hyatt Centric Wall Street New York,539,Excellent,"1,006",New York,No,No,3,2025-03-18,2025-03-19
2025-03-18,0,1,The Wall Street Hotel,884,Exceptional,443,New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Ink 48 Hotel,427,Very,"1,175",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,The Wallace,599,Exceptional,"1,008",Upper West Side,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Four Seasons Hotel New York Downtown,1145,Exceptional,401,New York,No,No,3,2025-03-18,2025-03-19
2025-03-18,0,1,Days Inn by Wyndham New York Chinatown,347,Good,26,New York,Yes,No,3,2025-03-18,2025-03-19
2025-03-18,0,1,Hotel On Rivington,381,Very,"1,001",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Ace Hotel New York,530,Very,"1,006",New York,No,No,3,2025-03-18,2025-03-19
2025-03-18,0,1,The Hotel Chelsea,819,Exceptional,998,Chelsea,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Mint House at 70 Pine,640,Exceptional,"1,004",New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,The Allen Hotel,409,Excellent,823,New York,No,No,2,2025-03-18,2025-03-19
2025-03-18,0,1,"11 Howard, New York, a Member of Design Hotels",536,Very,867,SoHo,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Virgin Hotels New York City,770,Wonderful,"2,340",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Doubletree by Hilton New York Times Square South,645,Fully,"4,100",New York,No,Yes,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Millennium Hilton New York One UN Plaza,686,Very,"1,754",New York,No,No,2,2025-03-18,2025-03-19
2025-03-18,0,1,Hotel and the City-Midtown,402,Excellent,365,New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Courtyard New York Manhattan/ Midtown East,676,Excellent,"2,250",New York,No,No,5,2025-03-18,2025-03-19
2025-03-18,0,1,The Mercer,1008,Exceptional,198,SoHo,No,No,4,2025-03-18,2025-03-19
2025-03-18,0,1,Hyatt Place New York / Chelsea,617,Very,"2,275",Chelsea,Yes,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,The Times Square EDITION,687,Wonderful,"1,004",Theater District,No,No,5,2025-03-18,2025-03-19
2025-03-18,0,1,Paramount Times Square,457,Good,138,Theater District,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Millennium Downtown New York,664,Fully,"2,289",New York,No,Yes,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,The St. Regis New York,2006,Wonderful,214,New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Hampton Inn Madison Square Garden Area Hotel,668,Very,"1,128",Chelsea,Yes,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Pod 51,393,Very,"1,574",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Holiday Inn Express New York - Manhattan West Side by IHG,440,Very,"1,744",New York,Yes,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,The Renwick,563,Fully,"1,574",New York,No,Yes,1,2025-03-18,2025-03-19
2025-03-18,0,1,Millennium Hilton New York One UN Plaza,686,Very,"1,754",New York,No,No,2,2025-03-18,2025-03-19
2025-03-18,0,1,The Washington by LuxUrban,484,Very,"1,011",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,The Dominick,1016,Wonderful,"1,006",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Placemakr Wall Street,578,Exceptional,640,New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Soho 54,406,Good,"1,009",New York,No,No,19,2025-03-18,2025-03-19
2025-03-18,0,1,The Midtown Modern - Washer/Dryer Included,391,N/A,N/A,Entire apartment,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,The Bowery Hotel,835,Exceptional,521,New York,No,No,2,2025-03-18,2025-03-19
2025-03-18,0,1,Hotel AKA NoMad,675,Excellent,"1,003",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Tribeca Hotel FiDi,286,Good,416,New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Hyatt Grand Central New York,771,Very,"4,895",New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Hotel Barriere Fouquet's New York,1183,Exceptional,41,New York,No,No,8,2025-03-18,2025-03-19
2025-03-18,0,1,Gansevoort Meatpacking,726,Excellent,"1,009",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Truss Hotel Times Square,519,Very,"2,392",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Times Square Luxe: 5 Beds with Washer/Dryer,361,N/A,1,Entire apartment,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Hampton Inn Manhattan/Times Square Central,611,Wonderful,"1,929",Theater District,Yes,No,2,2025-03-18,2025-03-19
2025-03-18,0,1,The FIDI Hotel,496,Excellent,842,New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Comfort Inn Manhattan - Midtown West,438,Good,"1,537",New York,Yes,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Henn na Hotel New York,490,Wonderful,326,New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Four Points By Sheraton New York Downtown,547,Very,"1,989",New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Doubletree by Hilton New York Times Square South,645,Fully,"4,100",New York,No,Yes,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,611,Fully,"2,389",New York,No,Yes,3,2025-03-18,2025-03-19
2025-03-18,0,1,The Manner in the Unbound Collection by Hyatt,1088,Exceptional,24,SoHo,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,The James New York - NoMad,616,Excellent,"1,016",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,"The Pierre, A Taj Hotel, New York",1411,Wonderful,"1,007",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Four Seasons Hotel New York,1951,Wonderful,103,New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,The Fifth Avenue Hotel,1375,Exceptional,76,New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Hampton Inn & Suites Staten Island,184,Fully,"1,006",Staten Island,Yes,Yes,7,2025-03-18,2025-03-19
2025-03-18,0,1,Hampton Inn New York - LaGuardia Airport,220,Fully,"1,009",Queens,Yes,Yes,3,2025-03-18,2025-03-19
2025-03-18,0,1,Arlo SoHo,668,Excellent,"1,695",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,The Historic Blue Moon Hotel - NYC,587,Good,94,New York,No,No,2,2025-03-18,2025-03-19
2025-03-18,0,1,Lotte New York Palace,933,Wonderful,"1,376",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Executive Hotel Le Soleil New York,577,Exceptional,"2,252",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Chic studio in vibrant New York,303,Exceptional,2,Entire apartment,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,1,Sonder at One Platt Apartments,531,Very,480,New York,No,No,1,2025-03-18,2025-03-19
2025-03-18,0,1,Roxy Hotel New York,934,Wonderful,"1,162",New York,No,No,N/A,2025-03-18,2025-03-19
2025-03-18,0,2,Tru By Hilton Brooklyn,502,Reserve,462,Brooklyn,Yes,No,1,2025-03-18,2025-03-20
2025-03-18,0,2,"PUBLIC, an Ian Schrager hotel",1350,Reserve,"2,817",New York,No,No,N/A,2025-03-18,2025-03-20
2025-03-18,0,2,Hudson River Hotel,304,N/A,"1,005",New York,No,No,3,2025-03-18,2025-03-20
2025-03-18,0,2,Hotel Beacon,971,Wonderful,"1,241",Upper West Side,No,No,N/A,2025-03-18,2025-03-20
2025-03-18,0,2,Heritage Hotel,556,Very,"1,523",New York,No,No,1,2025-03-18,2025-03-20
2025-03-18,0,2,The Jane Hotel,350,Reserve,"1,003",New York,No,No,N/A,2025-03-18,2025-03-20
2025-03-18,0,2,Hampton Inn NY-JFK,498,Fully,"2,658",Queens,Yes,Yes,N/A,2025-03-18,2025-03-20
2025-03-18,0,2,YOTEL New York Times Square,748,Good,"2,115",New York,No,No,N/A,2025-03-18,2025-03-20
2025-03-18,0,2,Studios Midtown Manhattan,592,Excellent,42,New York,No,No,1,2025-03-18,2025-03-20
2025-03-18,0,2,Night Hotel Broadway,427,N/A,"1,931",Upper West Side,No,No,N/A,2025-03-18,2025-03-20
2025-03-18,0,2,Hotel Belleclaire,817,Reserve,"2,376",Upper West Side,Yes,No,N/A,2025-03-18,2025-03-20
2025-03-18,0,2,Sonder Battery Park,733,Excellent,459,New York,No,No,1,2025-03-18,2025-03-20
2025-03-18,0,2,DoubleTree by Hilton New York JFK Airport,487,Fully,169,Queens,No,Yes,N/A,2025-03-18,2025-03-20
2025-03-18,0,2,The Shoreham Hotel,760,Reserve,"1,087",Central New York City,No,No,1,2025-03-18,2025-03-20
2025-03-18,0,2,Days Inn by Wyndham New York Chinatown,556,Reserve,26,New York,Yes,No,3,2025-03-18,2025-03-20
2025-03-18,0,2,Truss Hotel Times Square,863,Reserve,"2,392",New York,No,No,N/A,2025-03-18,2025-03-20
2025-03-18,0,2,The Ludlow Hotel,1267,Reserve,"1,003",New York,No,No,1,2025-03-18,2025-03-20
2025-03-18,0,2,Untitled at 3 Freeman Alley,867,Wonderful,472,New York,Yes,No,N/A,2025-03-18,2025-03-20
2025-03-18,0,2,OYO Times Square,767,Reserve,"1,322",Theater District,No,No,N/A,2025-03-18,2025-03-20
2025-03-18,0,2,Trump International Hotel & Tower New York,1908,Fully,"1,006",New York,No,Yes,N/A,2025-03-18,2025-03-20
2025-03-18,0,2,31 Street Broadway Hotel,345,N/A,"1,013",New York,No,No,N/A,2025-03-18,2025-03-20
