Snapshot Date,TTT,LOS,Hotel Name,Price,Rating,Reviews,Neighborhood,Breakfast,Free Cancellation,Rooms Left,Check-in,Check-out
2025-03-15,0,1,Courtyard New York Manhattan/ Midtown East,345,Excellent,"2,244",New York,No,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Millennium Premier New York Times Square,342,Good,"1,004",Theater District,Yes,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,"PUBLIC, an Ian Schrager hotel",646,Very,"2,812",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Courtyard New York Manhattan/ Midtown East,345,Excellent,"2,244",New York,No,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Millennium Premier New York Times Square,342,Good,"1,004",Theater District,Yes,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,"PUBLIC, an Ian Schrager hotel",646,Very,"2,812",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Radio City Apartments,234,Excellent,"4,154",Theater District,No,No,4,2025-03-15,2025-03-16
2025-03-15,0,1,Residence Inn by Marriott New York Manhattan/Midtown East,268,Wonderful,"1,001",New York,Yes,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Courtyard New York Manhattan/ Midtown East,345,Excellent,"2,244",New York,No,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Hilton New York Times Square,294,Very,"1,491",Theater District,No,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,Made Hotel,368,Exceptional,475,New York,No,No,4,2025-03-15,2025-03-16
2025-03-15,0,1,Hyatt Place New York City/Times Square,250,Very,"2,441",New York,Yes,No,3,2025-03-15,2025-03-16
2025-03-15,0,1,InterContinental New York Barclay by IHG,290,Excellent,"1,006",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Virgin Hotels New York City,328,Excellent,"2,331",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,SpringHill Suites by Marriott New York Manhattan/Times Square South,305,Excellent,"1,229",New York,Yes,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Virgin Hotels New York City,328,Excellent,"2,331",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Courtyard by Marriott New York Manhattan/Midtown West,318,Wonderful,"1,002",New York,No,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Hyatt Place New York / Chelsea,296,Very,"2,264",Chelsea,Yes,No,4,2025-03-15,2025-03-16
2025-03-15,0,1,Kixby,274,Wonderful,"1,319",New York,No,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Hyatt Grand Central New York,347,Very,"4,878",New York,No,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,Hotel Indigo NYC Financial District by IHG,232,Wonderful,674,New York,No,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,The New Yorker A Wyndham Hotel,283,Very,"5,215",New York,No,No,6,2025-03-15,2025-03-16
2025-03-15,0,1,Renaissance New York Midtown Hotel,333,Wonderful,"1,002",New York,No,No,2,2025-03-15,2025-03-16
2025-03-15,0,1,"Martinique New York on Broadway, Curio Collection by Hilton",278,Excellent,"1,483",New York,No,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,"Marriott Vacation Club®, New York City",287,Excellent,"1,008",New York,No,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Hilton Garden Inn New York/Manhattan-Midtown East,266,Very,"1,326",New York,No,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Fairfield Inn by Marriott New York Manhattan/Fifth Avenue,266,Very,"1,006",New York,Yes,No,6,2025-03-15,2025-03-16
2025-03-15,0,1,Millennium Hilton New York One UN Plaza,322,Very,"1,747",New York,No,No,7,2025-03-15,2025-03-16
2025-03-15,0,1,Doubletree by Hilton New York Times Square South,324,Excellent,"4,093",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,"The Draper New York, Tapestry Collection by Hilton",266,Excellent,846,New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Moxy NYC Chelsea,320,Excellent,"1,005",Chelsea,No,No,4,2025-03-15,2025-03-16
2025-03-15,0,1,Hotel 48LEX New York,341,Very,"1,001",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Even Hotel New York - Times Square South by IHG,353,Exceptional,"1,087",New York,No,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,Hotel 1200,327,Good,40,Brooklyn,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Hotel Park Ave,265,Good,"1,280",New York,No,No,2,2025-03-15,2025-03-16
2025-03-15,0,1,Hilton Garden Inn New York/West 35th Street,289,Wonderful,"2,457",New York,No,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,Westgate New York Grand Central,301,Excellent,"2,532",New York,No,No,25,2025-03-15,2025-03-16
2025-03-15,0,1,Hilton Garden Inn New York/Midtown Park Ave,290,Excellent,"1,026",New York,No,No,4,2025-03-15,2025-03-16
2025-03-15,0,1,Tuscany by LuxUrban,281,Very,"1,005",New York,No,No,81,2025-03-15,2025-03-16
2025-03-15,0,1,The Belvedere Hotel,291,Very,"3,556",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Hilton Garden Inn New York Times Square South,347,Wonderful,"4,015",New York,No,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,Hotel AKA NoMad,331,Excellent,"1,002",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Courtyard New York Manhattan/Times Square West,347,Wonderful,"1,443",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Pod Times Square,255,Wonderful,"4,322",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Warwick New York,352,Wonderful,"1,476",Central New York City,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,The Muse New York,351,Wonderful,"1,282",Theater District,No,No,3,2025-03-15,2025-03-16
2025-03-15,0,1,Sheraton New York Times Square Hotel,364,Good,"3,262",Theater District,No,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Heritage Hotel,248,Very,"1,515",New York,No,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,INNSiDE by Meliá New York Nomad,319,Wonderful,"2,217",Chelsea,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Best Western Premier Herald Square,267,Very,"1,005",New York,No,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,Wingate by Wyndham New York Midtown South/5th Ave,289,Excellent,"1,002",New York,Yes,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,The Luxury Collection Hotel Manhattan Midtown,526,Excellent,"1,006",New York,No,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Hampton Inn Manhattan/Times Square South,271,Good,"1,535",New York,Yes,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Hampton Inn Manhattan/Times Square South,271,Good,"1,535",New York,Yes,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Ace Hotel New York,292,Very,"1,003",New York,No,No,38,2025-03-15,2025-03-16
2025-03-15,0,1,Hotel Edison Times Square,301,Very,"4,516",Theater District,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,AC Hotel by Marriott New York Downtown,316,Wonderful,"1,007",New York,No,No,4,2025-03-15,2025-03-16
2025-03-15,0,1,The Maritime Hotel,346,Exceptional,"1,081",New York,Yes,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,Hyatt House New York/Chelsea,305,Excellent,"1,002",Chelsea,Yes,No,3,2025-03-15,2025-03-16
2025-03-15,0,1,Courtyard by Marriott New York Manhattan/Times Square,335,Excellent,"1,007",New York,No,No,4,2025-03-15,2025-03-16
2025-03-15,0,1,Westgate New York Grand Central,301,Excellent,"2,532",New York,No,No,25,2025-03-15,2025-03-16
2025-03-15,0,1,Crowne Plaza HY36 Midtown Manhattan by IHG,306,Wonderful,"1,806",New York,No,No,2,2025-03-15,2025-03-16
2025-03-15,0,1,Fairfield Inn & Suites New York Manhattan / Central Park,301,Excellent,"1,003",New York,Yes,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,Hampton Inn Madison Square Garden Area Hotel,255,Very,"1,124",Chelsea,Yes,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,Carnegie Hotel,341,Exceptional,"1,007",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Hampton Inn Manhattan/Times Square Central,329,Wonderful,"1,926",Theater District,Yes,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Motto By Hilton New York City Times Square,289,Excellent,"2,280",Theater District,No,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,Moxy NYC Downtown,291,Excellent,"1,406",New York,No,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Hotel 32 32,308,Very,"2,042",New York,No,No,87,2025-03-15,2025-03-16
2025-03-15,0,1,The Standard High Line,352,Excellent,"1,476",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,3 West Club,301,Exceptional,"1,002",Central New York City,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,DoubleTree by Hilton Hotel New York City - Chelsea,312,Very,"1,562",Chelsea,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,"Park South Hotel, part of JdV by Hyatt",324,Wonderful,"1,001",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Park Terrace Hotel,444,Exceptional,"1,533",Central New York City,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,388,Excellent,"1,097",Chelsea,Yes,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Millennium Downtown New York,315,Good,"2,282",New York,No,No,12,2025-03-15,2025-03-16
2025-03-15,0,1,YOTEL New York Times Square,334,Good,"2,107",New York,No,No,107,2025-03-15,2025-03-16
2025-03-15,0,1,Omni Berkshire Place,410,Exceptional,"1,730",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Empire Hotel,335,Good,"5,242",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Renaissance New York Times Square Hotel by Marriott,354,Excellent,"1,335",Theater District,No,No,4,2025-03-15,2025-03-16
2025-03-15,0,1,HGU New York,233,Very,"1,001",New York,No,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,"The Cloud One New York-Downtown, by the Motel One Group",289,Excellent,"1,003",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Washington Square Hotel,304,Wonderful,"1,023",Greenwich Village,No,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Four Points By Sheraton Manhattan Midtown West,319,Wonderful,"1,001",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,OYO Times Square,271,Good,"1,318",Theater District,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Courtyard by Marriott New York City Manhattan Fifth Avenue,347,Very,"1,004",New York,No,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Hotel 27 by LuxUrban,248,Good,747,New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Element New York Times Square West,297,Very,"2,318",New York,Yes,No,5,2025-03-15,2025-03-16
2025-03-15,0,1,Crowne Plaza HY36 Midtown Manhattan by IHG,306,Wonderful,"1,806",New York,No,No,2,2025-03-15,2025-03-16
2025-03-15,0,1,Archer Hotel New York,381,Exceptional,"1,195",Central New York City,No,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,"Club Quarters Hotel, Grand Central",341,Wonderful,"2,338",New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,"Thompson Central Park New York, by Hyatt",561,Wonderful,897,New York,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Kimpton Hotel Eventi by IHG,361,Wonderful,"1,006",Chelsea,No,No,8,2025-03-15,2025-03-16
2025-03-15,0,1,La Quinta Inn & Suites by Wyndham Times Square South,282,Wonderful,"1,002",New York,Yes,No,1,2025-03-15,2025-03-16
2025-03-15,0,1,Courtyard by Marriott New York World Trade Center Area,316,Wonderful,817,New York,No,No,4,2025-03-15,2025-03-16
2025-03-15,0,1,Hotel Hendricks,320,Very,"1,369",Central New York City,No,No,N/A,2025-03-15,2025-03-16
2025-03-15,0,1,Hampton Inn Manhattan Grand Central,301,Excellent,"1,158",New York,Yes,No,7,2025-03-15,2025-03-16
2025-03-15,0,1,Courtyard by Marriott New York Manhattan/SoHo,347,Wonderful,"1,002",New York,No,No,4,2025-03-15,2025-03-16
2025-03-15,0,1,Made Hotel,368,Exceptional,475,New York,No,No,4,2025-03-15,2025-03-16
