Snapshot Date,TTT,LOS,Hotel Name,Price,Rating,Reviews,Neighborhood,Breakfast,Free Cancellation,Rooms Left,Check-in,Check-out
2025-03-17,0,1,Hilton Brooklyn New York,306,Excellent,"1,010",Brooklyn,No,No,2,2025-03-17,2025-03-18
2025-03-17,0,1,Hilton New York Times Square,399,Very,"1,497",Theater District,No,No,1,2025-03-17,2025-03-18
2025-03-17,0,1,"PUBLIC, an Ian Schrager hotel",600,Very,"2,816",New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Radio City Apartments,230,Excellent,"4,160",Theater District,No,No,3,2025-03-17,2025-03-18
2025-03-17,0,1,Empire Hotel,235,Good,"5,253",New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,The Manhattan Club,286,Wonderful,"1,327",New York,No,No,55,2025-03-17,2025-03-18
2025-03-17,0,1,Night Hotel Broadway,132,N/A,"1,927",Upper West Side,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,DoubleTree by Hilton New York Times Square West,301,Good,"1,822",New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,The Ridge Hotel,187,Very,"1,002",New York,No,No,8,2025-03-17,2025-03-18
2025-03-17,0,1,The Lucerne Hotel,278,Wonderful,"2,052",Upper West Side,No,No,1,2025-03-17,2025-03-18
2025-03-17,0,1,The Belvedere Hotel,259,Very,"3,562",New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,YOTEL New York Times Square,265,Good,"2,112",New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Element New York Times Square West,314,Very,"2,318",New York,Yes,No,5,2025-03-17,2025-03-18
2025-03-17,0,1,"The Cloud One New York-Downtown, by the Motel One Group",243,Excellent,"1,006",New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,World Center Hotel,272,Excellent,"2,307",New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Chelsea Inn,201,Very,"1,452",New York,No,No,13,2025-03-17,2025-03-18
2025-03-17,0,1,Heritage Hotel,205,Very,"1,521",New York,No,No,2,2025-03-17,2025-03-18
2025-03-17,0,1,Hotel Mulberry,220,Wonderful,"1,005",New York,No,No,1,2025-03-17,2025-03-18
2025-03-17,0,1,Motto by Hilton New York City Chelsea,291,Wonderful,"1,404",Chelsea,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Hotel Riu Plaza New York Times Square,356,Wonderful,"2,798",New York,Yes,No,4,2025-03-17,2025-03-18
2025-03-17,0,1,17John,389,Wonderful,144,New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Orchard Street Hotel,156,Good,809,New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Virgin Hotels New York City,415,Wonderful,"2,338",New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Hotel Beacon,370,Wonderful,"1,241",Upper West Side,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Washington Square Hotel,277,Wonderful,"1,024",Greenwich Village,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,citizenM New York Bowery,301,Wonderful,"1,362",New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Sonder Duane Street,188,Very,783,New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Hilton Garden Inn New York Times Square South,324,Fully,"4,021",New York,No,Yes,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Pendry Manhattan West,1294,Exceptional,403,Chelsea,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Hampton Inn Manhattan/Times Square South,409,Fully,"1,539",New York,Yes,Yes,1,2025-03-17,2025-03-18
2025-03-17,0,1,Hotel 1200,128,Good,41,Brooklyn,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Pod Times Square,243,Wonderful,"4,332",New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Chelsea Pines Inn,245,Very,961,New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,354,Fully,"1,098",Chelsea,Yes,Yes,2,2025-03-17,2025-03-18
2025-03-17,0,1,Soho Grand Hotel,422,Wonderful,"1,096",SoHo,No,No,90,2025-03-17,2025-03-18
2025-03-17,0,1,Hudson Yards Hotel,186,N/A,572,New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,"Club Quarters Hotel, World Trade Center",272,Excellent,"1,599",New York,No,No,6,2025-03-17,2025-03-18
2025-03-17,0,1,The Muse New York,333,Wonderful,"1,288",Theater District,No,No,2,2025-03-17,2025-03-18
2025-03-17,0,1,East Village Hotel,247,Very,772,New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,DoubleTree by Hilton New York Times Square West,301,Good,"1,822",New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,TRYP by Wyndham New York City Times Square / Midtown,257,Good,"1,848",New York,No,No,3,2025-03-17,2025-03-18
2025-03-17,0,1,Untitled at 3 Freeman Alley,266,Wonderful,472,New York,Yes,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,Sonder Battery Park,285,Excellent,456,New York,No,No,1,2025-03-17,2025-03-18
2025-03-17,0,1,Hotel Edison Times Square,312,Very,"4,523",Theater District,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,The Gatsby Hotel,177,Good,652,New York,No,No,N/A,2025-03-17,2025-03-18
2025-03-17,0,1,AC Hotel by Marriott New York Downtown,308,Wonderful,"1,010",New York,No,No,1,2025-03-17,2025-03-18
2025-03-17,0,1,"The Beekman, A Thompson Hotel, by Hyatt",561,Wonderful,"1,002",New York,No,No,3,2025-03-17,2025-03-18
2025-03-17,0,1,Millennium Downtown New York,315,Fully,"2,284",New York,No,Yes,2,2025-03-17,2025-03-18
